time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
866,9240576,10662,4512,0.9983369708061218,0.15,0.0032252101,-0.034059904515743256,1.9036799999999994e-05,0.037841796875,-0.010316824307665229,-3.250928469002247,18044,0.030769396282266825,52.449330549999985,610.08
866,9242624,10665,4513,0.9974231719970703,0.15,0.0031461944,-0.039764292538166046,1.8985599999999993e-05,0.0186767578125,-0.008959921542555094,-3.100161872804165,18048,0.023223536962177604,52.449330549999985,610.08
866,9244672,10667,4514,0.9939168095588684,0.15,0.0028457046,-0.03367635980248451,1.893439999999999e-05,0.02197265625,-0.009681571580586024,-2.9858116880059242,18052,0.03410243347752839,52.48913274999998,609.97
866,9246720,10670,4515,0.9930792450904846,0.15,0.0023606878,-0.016688235104084015,1.888319999999999e-05,0.013671875,-0.007738846441498026,-3.3058920800685883,18056,0.058585461345501244,52.48823368999999,609.8
866,9248768,10672,4516,0.9983980655670166,0.15,0.0023476337,-0.046327196061611176,1.883199999999999e-05,0.0146484375,-0.008350967385922559,-3.5445269867777824,18060,0.025297425396274775,52.509027159999995,609.2
866,9250816,10674,4517,0.9984003901481628,0.15,0.0043093218,-0.05209506303071976,1.8780799999999988e-05,0.038330078125,-0.01124201194033958,-3.1496687456965446,18064,0.028098186012357473,52.54793026999999,609.42
866,9252864,10677,4518,0.9952555298805237,0.15,0.004085392,-0.03623735159635544,1.8729600000000015e-05,0.03662109375,-0.01080576800450217,-3.069776490330696,18068,0.032419485272839665,52.537979719999996,609.29
866,9254912,10679,4519,0.9938439726829529,0.15,0.0027676607,-0.03152919560670853,1.867840000000001e-05,0.022705078125,-0.007678473237319849,-3.1515774577856064,18072,0.038896044658031315,52.49898686999999,607.76
866,9256960,10681,4520,0.9936476945877075,0.15,0.002904883,-0.023758165538311005,1.862720000000001e-05,0.0196533203125,-0.008922056527808309,-3.2888524532318115,18076,0.0567938945023343,52.51708984,608.19
866,9259008,10684,4521,0.9984626173973083,0.15,0.0027524773,-0.03912656754255295,1.857600000000001e-05,0.0216064453125,-0.009945892787072808,-3.3781671971082687,18080,0.02577895880676806,52.43018937,608.27
866,9261056,10686,4522,0.9985185861587524,0.15,0.0030147694,-0.04167291149497032,1.852480000000001e-05,0.0269775390625,-0.010031406593043357,-3.2158645391464233,18084,0.025372186384629458,52.46999154999999,608.52
866,9263104,10689,4523,0.9948593378067017,0.15,0.0034720716,-0.0347718670964241,1.8473600000000006e-05,0.03173828125,-0.009169200537144206,-2.9819608628749847,18088,0.028023740567732602,52.47085455999999,608.76
866,9265152,10691,4524,0.995688796043396,0.15,0.0041058147,-0.032728493213653564,1.8422400000000005e-05,0.039794921875,-0.009796451282454655,-3.285032607614994,18092,0.037399316614028066,52.490755659999984,608.56
866,9267200,10694,4525,0.9956831932067871,0.15,0.0031700204,-0.02701277658343315,1.8371200000000005e-05,0.0245361328125,-0.010217860544798896,-3.208585061132908,18096,0.0426213635946624,52.499807139999994,608.36
866,9269248,10696,4526,0.9985368251800537,0.15,0.0026327823,-0.029708564281463623,1.8320000000000004e-05,0.017333984375,-0.008510874264175072,-3.34273062646389,18100,0.02503045927733183,52.58031058999999,607.66
866,9271296,10699,4527,0.9976139664649963,0.15,0.0031827027,-0.03548868000507355,1.8268800000000004e-05,0.0225830078125,-0.009081443116883747,-3.11463812738657,18104,0.031169596768449992,52.610162229999986,607.8
866,9273344,10701,4528,0.9936466813087463,0.15,0.0032768522,-0.03206270560622215,1.82176e-05,0.0244140625,-0.008474928850773722,-3.0352718979120255,18108,0.03255837823962793,52.60021167999999,608.33
866,9275392,10703,4529,0.9960981011390686,0.15,0.003668222,-0.041170671582221985,1.81664e-05,0.029296875,-0.009191788936732337,-3.4445887580513954,18112,0.035862612538039684,52.63911480999998,609.18
